skills,passing_years,company_urls,responsibilities,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
"['Data Engineer', 'Data Analytics', 'Data Visualization', 'Machine Learning', 'Statistical Modeling', 'Predictive Modeling', 'MongoDB', 'PowerBI', 'Tableau', 'Python', 'MySQL']","['2019', '2021']",['N/A'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.726666667
"['DasyLab', 'Labview', 'Mechanical', 'Electrical', 'Lean/5S', 'Hydraulic Testing', 'Test Stand Fabrication']","['2011', '2007']","[None, None, None, None]","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks",0.85
"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['2020'],[None],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.683333333
"['Bluebeam', 'Mathcad', 'Microsoft Word', 'Excel', 'Project', 'Powerpoint', 'Autocad Civil 3D']",['2018'],"[None, None, None]","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,0.583333333
"['Data Structures', 'Logistic Regression', 'Linear Regression', 'Machine Learning', 'Algorithms', 'Deep Learning', 'GIT', 'Open Source', 'Neural Networks', 'CNN', 'DNN', 'ANN', 'RNN', 'Keras', 'Tensorflow']",['2020'],['N/A'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.3
"['Microsoft Word/Excel', 'Great Plains Dynamics', 'BI360 (BusinessIntelligence Tool)', 'Keane Care']",['N/A'],"[None, None, None, None]","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,Age 25 to 40 years,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","HRM Report
Human Resource Management
NGO",0.76
"['Analytical reasoning', 'Compliance testing knowledge', 'Effective time management', 'Public and private accounting', 'accounting', 'accounting systems', 'accounts payable', 'accounts receivable', 'administrative', 'AR', 'billing', 'closing', 'client', 'clients', 'documentation', 'financial', 'financial reports', 'preparation of financial reports', 'Preparation of financial statements', 'fixed assets', 'managing', 'month-end closing', 'policies', 'maintain records', 'reporting', 'Research', 'sales', 'tax', 'taxes', 'tax returns', 'annual reports', 'year-end']",[None],"[None, None, None, None, None]","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.316666667
"['Data Analysis', 'Machine Learning', 'Scikit Learn', 'Hive', 'SQL', 'IBM Watson', 'Natural Language Processing', 'AWS Texualizer', 'SparkOCR', 'PySpark', 'Python', 'Tesseract', 'Image Processing']","['2017', '2019']",['N/A'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.85
"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['2002'],"[None, None, None]","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.483333333
"['Requirement Gathering', 'Software Development', 'Data Reporting', 'Root Cause Analysis', 'Solution Engineering', 'Key Aspect Analysis', 'Data Mining', 'Data Analytics', 'Java', 'HTML', 'JavaScript', 'C', 'Python']","['2019', '2021']","['N/A', 'N/A']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.683333333
"['Data Analysis', 'Machine Learning', 'Scikit Learn', 'Hive', 'SQL', 'IBM Watson', 'Natural Language Processing', 'AWS Texualizer', 'SparkOCR', 'PySpark', 'Python', 'Tesseract', 'Image Processing']","['2017', '2019']",['N/A'],"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.38
"['Data Analysis', 'Machine learning', 'Data Mining', 'Natural Language Processing', 'Linear Regression', 'Cluster Analysis', 'Correlation Analysis', 'Logistic Regression', 'Principal Component Analysis', 'Anova', 'Neural Networks', 'R', 'Python', 'MySQL', 'Tableau', 'Excel', 'SPSS', 'Decision tree']","['2018', '2020']",['N/A'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.483333333
"['Business analyst', 'Data modeling', 'Business intelligence', 'ERP implementation', 'html', 'Requirement Gathering', 'Power Bi', 'Project Management']","['2018', '2020']",[None],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.626666667
"['Microsoft Office', 'Visio', 'Inventor', 'Lean Manufacturingâ€‹', 'Continuous Improvement', 'database', 'Ergonomics', 'estimating', 'manufacturing processes', 'mentor', 'new product development', 'processes', 'quality', 'safety', 'Six Sigma']","['2014', '2014', '2013', '2011', '2007', '2004', '2006', '2003', 'N/A']","[None, None, None, None, None]","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting","Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,0.6
"['Basic and Advanced Supervision Training Courses', 'CBMET', ""Toshiba certified service trained on Aquilion 16, 32 and 64 slice CT's"", 'Toshiba certified service trained on Vantage 1.5 T 8 channel MRI', 'Toshiba certified service trained on Siemens E-Cam Nuclear Medicine Camera', 'Aramark service trained on GE AMX 4 and AMX4+ portable XR unit', 'Aramark service trained on GE 9600, 9800, 9900 Portable C-Arm', 'Aramark service trained on GE Precision 500 Radiology and Fluoroscopic image system', 'Microsoft Applications', 'Foresight Imaging Systems trained on DICOM protocols', 'Skilled in the operation of MS 2000, Windows 7, MySQL, PHP, Apache, UNIX, Linux, Cisco', 'Skilled in the operation of networks', 'Skilled in the operation of workstations and servers']","['N/A', 'N/A', 'N/A']","[None, None, None, None]","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.216666667
"['Data Analysis', 'Data Visualization', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'Algorithms', 'Python', 'Hive', 'SQL', 'Java', 'Tableau', 'Big Data', 'Hadoop', 'C++', 'ANN']",['2019'],['N/A'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.4
"['JavaScript (Angular)', 'HTML/CSS', 'Python (Django)', 'SQL (MySQL, PostgreSQL)', 'Git', 'Ruby on Rails']",['2021'],[None],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.546666667
"['Machine Learning', 'Artificial Intelligence', 'Python', 'Predictive Analytics', 'Statistical Modeling', 'Data Visualization', 'Data Analysis', 'Data Mining', 'Data Validation', 'Power Bi', 'Text Analytics', 'Data Modeling', 'Data Analyst']","['2017', '2019']",[None],"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks",0.35
"['Training program implementation', 'Project management', 'Drilling engineering', 'Building commissioning experience', 'A highly motivated and energetic personality.', 'Ability to take initiative and exhibit flexibility.', 'Excellent customer service skills.', 'Leadership Development Program', 'Hands On Training: Electrical, Pluming, Painting, Full Finish, Wall Paper', 'Management Training, Team Builder, Outlook Training, Excel Training, Hotsos Training, Stratton Warren ""MMS""', 'Interpersonal communication skills', 'Demonstrated organizational/planning skills', 'Adaptability', 'Ability to translate technical specifications', 'Have interpersonal skills to deal effectively with all business contacts.']",['N/A'],"[None, None, None]","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.77
"['Operational analysis', 'Exceptional time management', 'Geometric dimensioning', 'Strong leader', 'Manufacturing process controls', 'Detail-oriented', 'Analog and digital circuitry', 'Detail drawings', 'Comfortable working at heights and odd locations', 'Technical plan execution aptitude', 'Detail-oriented understanding that any downtime must be minimized if not avoidable', 'Understand overtime and on-call basis may be required', 'Rigging', 'Soldering, Drilling- Tapping', 'Measurement and layout', 'Test and measurement equipment', 'Equipment calibration', 'Tenacity , willingness to go to whatever length it takes to solve a problem or improve a process', 'assembly', 'broadcast', 'calibration', 'concept', 'drafting', 'engineer', 'Radar', 'modeling', 'Naval', 'Network', 'Oscilloscopes', 'quality', 'record keeping', 'Research', 'sales', 'FM', 'SPS', 'Test Equipment', 'UHF', 'Wiring']",['Current'],"[None, None, None, None]","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting","Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,0.55
"['Web Development', 'Neural Networks', 'Deep Learning', 'Machine Learning', 'Python', 'TensorflowJS', 'Front End', 'HTML', 'CSS', 'JavaScript', 'Flutter']",['2020'],[None],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.816666667
"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Access', 'Microsoft Word', 'Microsoft Outlook', 'JD Edwards/AS 400', 'Microsoft Accounting Office', 'Image Freeway', 'QuickBooks', 'SAP', 'LX', 'SAGE', 'account reconciliations', 'Accounting', 'accruals', 'ad', 'AS 400', 'balance sheet', 'balance sheets', 'budgets', 'budget', 'controller', 'Corporate Finance', 'ERP', 'Finance', 'financial', 'financial reports', 'financial reporting', 'Financial Statements', 'fixed assets', 'forms', 'general ledger', 'Image', 'inventory', 'JD Edwards', 'ledger', 'Director', 'macros', 'materials', 'Microsoft Access', 'Microsoft Excel', 'Office', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word', 'month end close', 'Operations Management', 'pivot tables', 'Progress', 'QuickBooks', 'reporting', 'Requirement', 'research', 'SAGE FAS', 'sales', 'SAP', 'tax', 'year-end']","['2008', '2006']","[None, None, None, None]","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.75
"['Python', 'Java', 'Visual Basic', 'Windows', 'Linux', 'HTML', 'CSS', 'Javascript', 'PHP', 'SQL', 'NodeJS', 'App development (Android and iOS)', 'User centered design', 'Algorithms and data structures', 'Basic processor design', 'Electronic circuit analysis']","['2020', '2016']","[None, None, None]","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.233333333
"['credit', 'customer service', 'data entry', 'dispatching', 'drivers', 'focus', 'forms', 'inventory', 'Excel', 'Outlook', 'Publisher', 'Word', 'quick', 'Sales', 'scheduling', 'supervising', 'phone', 'time management', 'transportation', 'websites']",['2006'],"[None, None, None, None, None]","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",0.85
"['accounting', 'accountant', 'administrative', 'Army', 'Agency', 'backup', 'book', 'budget', 'Business Administration', 'cash flow', 'contracts', 'DC', 'documentation', 'filing', 'financial', 'GL', 'home office', 'IMS', 'International Business', 'materials', 'Access', 'Excel', 'Microsoft Office', 'office', 'PowerPoint', 'Word', 'procurement', 'purchasing', 'receiving', 'record keeping', 'transportation', 'type', 'workshops']","['2016', '2012', '2006', '2006']","[None, None, None]","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.783333333
"['Python', 'Machine Learning', 'Deep Learning', 'R', 'Computer Vision', 'Numpy', 'Panda', 'Matplotlib', 'MySQL', 'OpenCV', 'PyTorch']",['2019'],"['N/A', 'N/A']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.716666667
"['Business Development & Sales Leadership', 'Sales Presentations', 'Client Development', 'Strategic Planning', 'Market Expansion', 'Team Building & Leadership', 'Client Engagement', 'Market Analysis/Competitive Positioning', 'Sales Forecasting', 'Vendor Sourcing/Relations', 'Change Management', 'Process Improvement', 'Profit Improvement', 'account management', 'streamline', 'business development', 'cold calling', 'compliance management', 'inventory management', 'inventory levels', 'inventory control', 'logistics', 'mailing', 'marketing strategies', 'process management', 'sales', 'VoIP']",['N/A'],"[None, None, None, None]","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.683333
"['A/p', 'A/r', 'Automated Payroll', 'Cpa', 'Excel', 'General Ledger', 'Office Management', 'Outlook', 'Payroll', 'Payroll Processing', 'Powerpoint', 'Accounting', 'Bookkeeping', 'Office Manager', 'Accounts For', 'Bookkeeper', 'Cash', 'Financial Statements', 'Process Payroll', 'Reconciliations', 'Tax Returns', 'Balance Sheet', 'Bank Reconciliations', 'Clients', 'G/l', 'Its', 'Job Costing', 'Journal', 'Quickbooks', 'Business Management', 'Clerical', 'Training', 'Account Reconciliations', 'Accountant', 'Accounts And', 'And Account', 'As400', 'Audit', 'Balance Sheets', 'Contracts', 'Inventory', 'Invoice', 'Office Administration', 'Operations', 'Peachtree', 'Peachtree Accounting', 'Progress', 'Reconciling', 'Restaurant Manager', 'Scheduling', 'Secretary', 'State Tax', 'Timberline', 'Timberline Software', 'Typing', 'Word']","['2016', 'N/A']","[None, None, None, None, None, None, None]","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.75
"['Data Mining', 'Deep Learning', 'Machine Learning', 'Software Testing', 'Algorithms', 'Python', 'JIRA', 'NLP', 'SQL', 'Unsupervised learning', 'Clustering', 'Regression', 'Model Development', 'MLOPS']",['2019'],['N/A'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.65
"['C++', 'Python', '.Ney(VB, ASP)', 'CSS', 'Javascript', 'Visual Basic', 'Visual FoxPro', 'Analytical Process Improvement', 'Risk Assessment & Tracking', 'Data & Network Management', 'Scrum & Agile']",['2017'],"['N/A', 'N/A', 'N/A']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.35
"['Leadership Development', 'Project Management', 'Budgeting', 'Employee Management', 'Operations Management', 'Business Management', 'Inventory Management', 'Risk Management', 'Staff Development']","['2004-12-18', '2001-12-15', '1994-05-15']","[None, None, None]","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,0.45
"['Academic', 'AutoCad', 'banking', 'basic', 'Calculus', 'credit', 'database', 'Database Management System', 'Engineer', 'Experiments', 'GUI', 'LASER', 'layout', 'Materials', 'MATLAB', 'Mechanical Engineering', 'Excel', 'Microsoft Office', 'Outlook', 'Power Point', 'Word', 'MySQL', 'Optimization', 'Physics', 'Police', 'progress', 'Research', 'Retail', 'Scheduling', 'Statistics', 'VBA', 'website']","['2016', '2011']","[None, None, None]","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.793333333
"['Data Analytics', 'Artificial Intelligence', 'Data Visualization', 'Machine Learning', 'Python', 'Data Wrangling', 'Featurization', 'Heuristics', 'Data Structures']",['2019'],['N/A'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,Age 25 to 40 years,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","HRM Report
Human Resource Management
NGO",0.683333333
